,,,,,
TALIGENT  ·  Hitos Históricos,,,,,
,,,,,
Cronología de los momentos más importantes desde la fundación,,,,,
#,Fecha,Hito,Categoría,Descripción,Impacto
,2015,Fundación de Taligent,Fundación & Legal,Creación formal de Taligent SA como empresa de Consultoria de Business Intelligence en Argentina.,🏛️ Punto de partida de todo
,2017,Inicio de la Relación con Microsoft,Clientes & Partnerships,"Taligent comienza a trabajar con Microsoft, ampliando su stack tecnológico hacia el ecosistema Power Platform (Power Apps, Automate y Power BI) y Azure ",Expansion a otras tecnologias
,2018,Partner Más Grande de Qlik en Argentina,Clientes & Partnerships,"Taligent alcanza el estatus de mayor partner de Qlik en Argentina, posicionándose como referente nacional en Business Intelligence.",🏆 Liderazgo de mercado BI
,2018,1er Contrato con Monsanto / Bayer,Clientes & Partnerships,"Inicio de la relación comercial con Monsanto / Bayer , una de las empresas más grandes del Agro de Argentina, en un proyecto de analítica de datos aplicadas al supply chain",⛽ Acceso al sector Agro
,2018,1er Proyecto de Inteligencia Artificial ,Tecnología & Proyectos,"Desarrollo del primer proyecto de Machine Learning , modelo de predicción de fraude para Edenor, marcando el ingreso de Taligent en proyectos de IA aplicada.",🤖 Pioneros en IA en el sector
,2020,1er Contrato con YPF,Clientes & Partnerships,"Inicio de la relación comercial con YPF, una de las empresas más grandes de Argentina, en un proyecto de analítica de datos.",⛽ Acceso al sector energético
,2020,Creacion de Celulas de I+D,Tecnología & Proyectos,"Creamos las primeras celulas internas de innovacion tecnologica, para explorar con mas profundidad nuevas tecnologias y crear nuevos servicios /  Business Unit. ",🔧 Base de la práctica técnica e Innovacion
,2021,Inicio de la Relación con AWS,Clientes & Partnerships,"Taligent comienza a trabajar con AWS, ampliando su stack tecnológico y pudiendo ofrecer arquitecturas modernas de datos con servicios de la nube de AWS. ",
,2021,Fundación de Taligent Uruguay,Fundación & Legal,Creación formal de Taligent UY SAS en Uruguay,
,2021,1er Programa de Mentoring,Cultura & Equipo,Desarrollamos el 1er programa de mentoring interno para perfiles con potencial de crecimiento. ,
,2022,Fudacion de Taligent USA,Fundación & Legal,Cracion formal de Taligent LLC en USA. ,
,2023,Fundación de Taligent España,Fundación & Legal,Creación formal de Taligent Europa SL en España,
,2022,1er Proyecto de Ingenieria de Datos,Tecnología & Proyectos,Primer proyecto de ingeniería de datos con AWS para Buquebus Uruguay ,
,2022,100 Personas en el Equipo,Cultura & Equipo,"Taligent alcanza las 100 personas en su equipo, un hito que refleja el crecimiento sostenido de la empresa en la última década.",👥 Escala de empresa mediana
,2024,1er Contrato con Pilgrims Global,Clientes & Partnerships,"Inicio de la relación comercial con Pilgrims global (JBS Group) , una de las empresas de produccion de alimentos mas grandes del Mundo, en un proyecto de Ingenieria de datos con Snowflake, Fivetran , DBT y Qlik ",
,2023,1er Proyecto de Software Development,Tecnología & Proyectos,,🔧 Base de la práctica técnica
,2024,1er Proyecto de Inteligencia Artificial Generativa,Tecnología & Proyectos,,
,,,,,
Taligent LLC  ·  Última actualización: Abril 2026  ·  7 hitos registrados,,,,,
